Algorithm,Entropy,Hamming_Weight,Repeated,Size_Ratio,Encryption_Time_per_Byte,Decryption_Time_per_Byte
Blowfish,5.409897884719566,0.50244140625,0,0.9999999999990234,0.0,0.0
AES-CBC,5.53175984782438,0.500048828125,0,0.9999999999999023,0.0,0.0
AES-ECB,5.534231809825111,0.5021694617784711,0,1.0015624999999022,0.0,0.0
ChaCha20,5.5320155999313325,0.49727783203125,0,0.9999999999999023,0.0,0.0
RSA,5.536656772350038,0.5008861400462963,0,1.3499999999998682,0.0002534827217459431,0.0015116762369869665
Blowfish,5.532741590217894,0.5009765625,0,0.9999999999999023,0.0,0.0
AES-CBC,5.53486989993416,0.49881591796875,0,0.9999999999999023,0.0,0.0
AES-ECB,5.533191018559831,0.4984155616224649,0,1.0015624999999022,0.0,0.0
ChaCha20,5.532146724490313,0.50067138671875,0,0.9999999999999023,0.0,0.0
RSA,5.53605674398316,0.4989149305555556,0,1.3499999999998682,0.0001948093995451736,0.0016010133549569474
Blowfish,5.532494699816619,0.50078125,0,0.9999999999999023,0.0,0.0
AES-CBC,5.533405208610075,0.502099609375,0,0.9999999999999023,0.0,0.0
AES-ECB,5.5327157156401086,0.5004753315132605,0,1.0015624999999022,0.0,0.0
ChaCha20,5.532399301796837,0.49962158203125,0,0.9999999999999023,0.0,0.0
RSA,5.535374803208213,0.4995840567129629,0,1.3499999999998682,0.00016323756426571206,0.001631560735404332
Blowfish,5.531967330912616,0.49901123046875,0,0.9999999999999023,0.0,0.0
AES-CBC,5.531505468939649,0.499462890625,0,0.9999999999999023,0.0,0.0
AES-ECB,5.531914478467187,0.4998659321372855,0,1.0015624999999022,0.0,0.0
ChaCha20,5.533449893442784,0.49927978515625,0,0.9999999999999023,0.0,0.0
RSA,5.535669117693711,0.4968352141203703,0,1.3499999999998682,0.00019464641809461598,0.0016585923731325437
Blowfish,5.531519183530255,0.50208740234375,0,0.9999999999999023,0.0,0.0
AES-CBC,5.533311914998134,0.50130615234375,0,0.9999999999999023,0.0,0.0
AES-ECB,5.53181226665101,0.5016941302652106,0,1.0015624999999022,0.0,0.0
ChaCha20,5.530980408313576,0.501953125,0,0.9999999999999023,0.0,0.0
RSA,5.535318752447454,0.5024594907407407,0,1.3499999999998682,0.00020596198737619296,0.001557660289108601
Blowfish,5.532595964418794,0.498193359375,0,0.9999999999999023,9.818468242882723e-05,0.0
AES-CBC,5.5318460391474655,0.4995361328125,0,0.9999999999999023,0.0,0.0
AES-ECB,5.532818184239277,0.5025472893915757,0,1.0015624999999022,0.0,0.0
ChaCha20,5.531951163383623,0.49986572265625,0,0.9999999999999023,0.0,0.0
RSA,5.535832776529636,0.4984718605324074,0,1.3499999999998682,0.00010610092431305802,0.0015940982848404281
Blowfish,5.533095227466863,0.4990234375,0,0.9999999999999023,0.0,0.0
AES-CBC,5.533884039276188,0.497021484375,0,0.9999999999999023,0.0,0.0
AES-ECB,5.533862857581285,0.5007678432137286,0,1.0015624999999022,0.0,0.0
ChaCha20,5.531683298554833,0.4999755859375,0,0.9999999999999023,0.0,0.0
RSA,5.5355511654017935,0.4996473524305556,0,1.3499999999998682,0.00032058451324698176,0.0019595492631195063
Blowfish,5.534374216030015,0.49853515625,0,0.9999999999999023,5.324836820363478e-05,0.0
AES-CBC,5.543956489152678,0.50019287109375,0,0.9999999999999902,4.996545612811993e-06,0.0
AES-ECB,5.543885157775287,0.5010215688954851,0,1.00015624999999,0.0,0.0
ChaCha20,5.543846292509063,0.5003955078125,0,0.9999999999999902,0.0,0.0
RSA,5.544291213737627,0.4999320573399815,0,1.3474999999999868,0.00023533822968601956,0.0016523594968020753
Blowfish,5.544005512607336,0.500313720703125,0,0.9999999999999902,9.764917194843197e-06,9.923242032527827e-06
AES-CBC,5.543951259523757,0.499447021484375,0,0.9999999999999902,0.0,0.0
AES-ECB,5.5441958752911695,0.4997803077644118,0,1.00015624999999,0.0,0.0
ChaCha20,5.543933241820475,0.500623779296875,0,0.9999999999999902,0.0,0.0
RSA,5.54420778096307,0.4992499130333951,0,1.3474999999999868,0.00018619466572999778,0.0014975410886108728
Blowfish,5.543953910771359,0.49946044921875,0,0.9999999999999902,9.662471711635495e-06,9.664800018072035e-06
